Jahr,Total,Siedlungsabfaelle,Verbranntkehricht,Separatwertstoffe,Gruenabfuhr,Gruengut,Haushalte,Industrie,Metzgerei,Aushubmaterial,Industrie2,Klaerschlamm
1990, 14 561,949,367,405,54,123,0,127,3,13186,268,28
1991, 16 763,975,360,419,91,106,0,155,3,15323,266,41
1992, 10 801,976,372,405,87,112,0,141,3,9445,202,34
1993, 12 089,912,340,385,75,111,1,158,2,10774,205,37
1994, 11 212,756,207,356,55,137,1,118,2,10110,192,34
1995, 10 344,797,220,402,53,122,0,56,2,9192,269,28
1996,12 483,807,220,385,49,152,0,49,2,11425,166,34
1997,12 736,820,225,406,50,139,0,52,2,11676,150,35
1998,11 451,841,232,426,49,133,1,43,3,10292,239,34
1999,12 366,1008,239,580,49,139,1,55,3,11072,194,34
2000,14 878,1124,240,675,47,161,1,51,3,13408,255,38
2001,14 425,1074,244,652,49,129,1,76,5,12981,258,31
2002,14 331,1076,236,626,49,164,1,85,5,12795,339,31
2003,13 905,1087,237,642,45,163,1,76,5,12407,298,33
2004,13 341,1056,237,615,47,156,1,75,5,11924,249,32
2005,15 041,1158,232,688,46,191,1,64,4,13499,272,43
2006,11 469,1115,237,677,45,156,1,60,3,9863,393,35
2007,14 914,1135,237,683,44,170,1,62,3,12267,1410,37
2008,17 178,1073,239,596,43,194,0,59,4,15699,308,35
2009,12 908,996,241,563,44,148,1,57,4,11494,319,38
2010,12 991,914,241,486,42,144,0,58,4,11107,876,33
2011,18 147,993,241,543,43,165,0,58,4,16473,587,32
2012,16 044,963,241,495,51,176,1,61,4,14508,477,31
2013,12 025,903,235,451,42,175,0,57,4,10551,478,32
2014,15 157,845,231,411,40,163,0,48,4,13831,394,35
2015, 15 905,867,228,459,37,143,0,41,4,14673,289,31
2016,12 259,868,220,461,40,148,1,41,4,11008,308,30
2017, 12 970,888,220,462,59,147,0,29,4,11697,321,32
2018, 11 390,803,217,416,52,118,1,26,4,10158,368,32
