Jahr,TotalAbfaelle,Siedlungsabfaelle,VerbranntKehricht,SeparatWertstoffe,verwertetKompostierbareGruenabfuhr,AbfaelleGruengut,SonderabfaelleHaushalte,Industrie,Metzgerei,InertstoffeUndAushubmaterial,SonderAbfaelleGewerbeIndustrie,Klaerschlamm
1990,422742.631,27549.801,10643.6,11762.461,1564,3566.64,13.1,3687.6,94.73,382806,7782.5,822
1991,486666.18,28308.16,10438.96,12154.76,2629,3078.24,7.2,4511.52,95.2,444852,7721.3,1178
1992,317404.18,28695.13,10934.84,11907.49,2552,3286.8,14,4129.87,87.68,277560,5941.5,990
1993,361061.147,27232.28,10163.55,11493.14,2247,3310.89,17.7,4723.93,67.61,321804,6133.327,1100
1994,339825.738,22905.81,6286.54,10790.62,1668,4143.15,17.5,3579.85,70.73,306432,5818.348,1019
1995,316819.633,24414.23,6728.45,12303.28,1634.05,3733.95,14.5,1714.4,51.96,281538,8254.043,847
1996,386013.00675,24939.52175,6803.76,11907.23175,1528.4,4686.33,13.8,1514.1,56.77,353292.3,5148.315,1062
1997,396646.816,25545.458,7018.21,12631.828,1565.78,4315.74,13.9,1628.37,74.8,363636,4666.188,1096
1998,358659.76475,26336.17275,7272.04,13352.96275,1527.09,4166.58,17.5,1342.98,84.43,322338.6,7490.582,1067
1999,395902.0775,32270.8825,7653.83,18565.9025,1573.07,4460.28,17.8,1759.49,99.34,354481.2,6199.165,1092
2000,482430.673,36445.671,7788.42,21896.951,1532.79,5209.71,17.8,1643.19,98.93,434755.8,8265.082,1222
2001,474049.92425,35311.24025,8003,21436.43025,1606.88,4247.43,17.5,2496.76,161.69,426587.4,8467.834,1025
2002,480453.43215,36082.84015,7904.85,20998.86875,1654.86,5500.9614,23.3,2839.73,163.48,428951.682,11365.7,1050
2003,470864.02415,36797.95915,8010.54,21729.45875,1529.14,5508.3204,20.5,2572.9,160.9,420136.65,10086.615,1109
2004,457518.98955,36212.76755,8124.88,21095.7055,1628.14,5344.64205,19.4,2582.62,163.35,408928.392,8524.86,1107
2005,520407.15845,40062.07145,8037.71,23807.31725,1583.11,6614.4342,19.5,2216.43,149.99,467055,9424.667,1499
2006,400324.66045,38910.26645,8267.06,23616.358,1566.7,5442.34845,17.8,2090.63,102.7,344263.086,13733.978,1224
2007,524509.7793,39907.0373,8338.18,24005.391,1564.24,5980.6263,18.6,2182.92,116.51,431408.79,49581.522,1313
2008,607329.15677,37945.76377,8460.48,21076.3945,1534.1,6859.08927,15.7,2071.18,131.08,555036.318,10899.815,1245
2009,459394.68975,35447.81975,8560.2,20030.8785,1580.18,5258.26125,18.3,2024.86,133.28,409064.472,11362.258,1362
2010,466309.95598,32799.24298,8661.61,17449.2055,1517.6,5153.72748,17.1,2096.56,135.88,398675.934,31433.339,1169
2011,656001.27595,35895.92595,8728.48,19617.827,1558.8,5974.91895,15.9,2097.9,132.91,595498.23,21218.31,1158
2012,585203.5998,35136.7998,8776.11,18050.8115,1862.92,6426.2583,20.7,2228.58,138.95,529165.35,17412.92,1121
2013,442978.5613,33281.1583,8668.06,16603.6246,1537.03,6454.8297,17.614,2102,140.68,388674.252,17598.471,1182
2014,562748.4079,31362.4669,8584.08,15249.188,1471.19,6040.7589,17.25,1798.3,138.86,513523.008,14624.773,1301
2015,594313.2971,32381.9751,8504.05,17142.627,1385.6,5337.2041,12.494,1538.71,139.65,548289.576,10811.386,1152
2016,461203.836,32669.662,8267.74,17338.984,1492.4,5550.369,20.169,1531.03,136.41,414145.62,11602.114,1119
2017,490414.2548,33575.0458,8317.64,17471.3046,2212.21,5555.5632,18.328,1108.02,147.56,442261.902,12122.727,1199
2018,434112.8004,30600.5774,8263.7,15840.437,1986.5,4490.7324,19.208,983.72,146.5,387144.966,14010.637,1226.4
