Year,Total (in t),Vaduz,Triesen,Balzers,Triesenberg,Schaan,Planken,Eschen,Mauren,Gamprin,Ruggel,Schellenberg
1996,50.00,2.60,1.66,1.64,1.26,2.67,0.13,0.98,1.33,0.31,0.55,0.26
1997,63.00,3.09,2.12,2.11,1.52,2.79,0.17,1.35,1.73,0.33,0.67,0.36
1998,53.00,2.91,1.83,1.85,1.19,2.18,0.13,1.03,1.31,0.29,0.56,0.29
1999,41.00,1.81,1.08,0.86,0.69,1.31,0.08,0.58,0.76,0.18,0.34,0.17
2000,95.00,3.55,2.31,2.69,1.54,2.90,0.15,1.29,1.72,0.39,0.72,0.37
2001,106.00,1.75,2.58,2.64,1.73,3.60,0.18,1.55,1.95,0.49,0.83,0.46
2002,92.00,1.45,2.34,2.33,1.28,3.17,0.17,1.05,1.71,0.41,0.73,0.38
2003,86.00,3.59,2.10,2.19,1.23,3.03,0.12,1.04,1.58,0.41,0.73,0.39
2004,132.00,5.22,3.18,3.57,1.83,4.69,0.21,1.89,2.67,0.69,1.07,0.69
2005,152.00,5.90,3.37,3.63,1.96,4.70,0.23,1.31,3.15,0.79,1.03,0.64
2006,191.00,7.72,4.65,5.18,2.68,5.51,0.30,1.97,3.57,0.92,1.65,0.89
2007,152.00,2.95,3.12,4.17,1.97,4.20,0.22,1.86,2.82,0.83,1.29,0.67
2008,147.00,6.91,3.61,4.41,2.16,4.55,0.22,2.39,3.00,0.90,1.28,0.60
2009,172.00,8.75,4.54,4.77,2.60,5.52,0.33,3.00,3.64,1.15,1.65,0.94
2010,142.00,11.11,4.66,4.50,2.65,5.00,0.31,3.17,3.67,1.14,1.60,0.87
2011,194.00,8.55,5.66,4.72,3.29,6.89,0.20,4.16,5.28,1.42,2.07,1.16
2012,176.00,8.63,5.37,5.65,3.08,6.90,0.20,4.36,4.58,1.30,1.94,1.11
2013,289.00,14.86,9.69,11.63,5.66,11.52,0.20,1.94,7.47,0.70,3.43,1.93
2014,303.00,14.27,5.72,12.80,6.60,13.91,0.20,1.94,6.42,0.70,3.54,2.05
2015,419.00,23.07,3.66,16.84,7.48,15.76,0.20,1.94,6.75,0.70,4.03,2.30
2016,489.00,22.28,3.66,20.59,9.81,18.11,0.20,1.94,6.77,0.70,4.46,2.68
2017,435.00,23.85,3.66,17.83,7.99,13.20,0.20,1.94,5.15,0.70,3.64,2.22
2018,553.00,38.12,3.66,28.38,13.86,17.11,0.20,1.94,6.88,0.70,4.89,3.00
2019,484.00,23.94,3.66,20.68,9.48,14.46,0.20,1.94,4.26,0.70,3.95,2.42
2020,706.00,50.76,3.66,31.92,15.15,23.31,0.20,1.94,7.95,0.70,6.29,3.73
2021,643.00,41.38,3.66,28.43,13.33,20.52,0.20,1.94,6.25,0.70,5.53,3.22
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
