Jahr,Liechtenstein,Vaduz,Triesen,Balzers,Triesenberg,Schaan,Planken,Eschen,Mauren,Gamprin,Ruggel,Schellenberg
1995,1714.4,380.13,133.75,88.12,78.59,359.56,4.28,360.81,58.08,217.61,27.73,5.74
1996,1514.1,281.2,162.53,69.74,86.74,287.23,4.11,346.84,23.23,238.17,12.93,1.38
1997,1504.89,242.48,115.63,94.24,91.64,305.65,7.67,365.41,42.43,216.3,19.11,4.33
1998,1201.37,143.13,42.66,67.04,5.85,206.65,1.81,415.63,30.28,272.97,12.29,3.06
1999,1618.62,325,91.4,63.12,150.68,336.56,4.73,306.52,27.01,300.85,9.86,2.89
2000,1540.83,343.02,103.48,80.42,166.34,296.79,4.3,237.72,27.64,271.02,6.74,3.36
2001,2357.9,346.44,88.03,60.01,130.35,866.95,4.28,567.64,28.58,260.58,5.04,0
2002,2683.58,357.47,122.95,71.93,157.62,785.28,3.84,782.05,43.7,348.93,5.17,4.64
2003,2392.35,292.65,91.84,71.78,131.71,720.44,1.48,628.56,49.54,372.69,19.49,12.17
2004,785.240539620721,64.1478521478522,20.1985754370818,16.7240983229956,68.4291779235816,129.37400248271,3.05630026809651,157.615827698472,17.2358620689655,262.106072252114,19.8691384950927,26.4836325237592
2005,2121.41,296.78,118.76,53.42,121.47,555.77,1.48,634,36.84,295.71,3.9,3.28
2006,2054.43,320.84,119.48,72.44,116.9,690.15,1.42,427.59,38.16,253.73,6.68,7.04
2007,2143.86,305.73,77.22,70.18,149.64,676.92,1.52,489.56,49.8,306.53,7.78,8.98
2008,2060.24,258.74,89.72,96.84,116.46,520.64,11.1,587.36,40.62,324.54,7.54,6.68
2009,2024.86,286.76,113.36,72.98,112.48,577.3,3.88,552.66,35.5,261.58,4.96,3.4
2010,2096.56,246.8,83.49,57.06,105.24,563.89,32.74,759.74,33.12,207.36,2.7,4.42
2011,2097.9,145.34,89.24,62.64,111.58,559.32,2.12,812.98,24.96,269.5,15.96,4.26
2012,2228.58,148.2,110.77,60.65,89.66,495.44,2.94,973.5,43.74,287.16,5.94,10.58
2013,2102,131.98,96.6,59.02,107.58,571.5,3.74,825.78,38.2,253.06,6.46,8.08
2014,1798.3,137.2,108.1,96.94,94.22,331.9,2.6,627.44,32.3,343.56,13.46,10.58
2015,1538.71,177.13,110.02,83.34,103.16,207.72,3.22,598.4,25.34,213.74,7.18,9.46
2016,1531.03,167.57,170.9,72.58,137.5,212.7,0.58,535.33,43.06,177.83,6.24,6.74
2017,1108.02,181.32,127.16,74.6,114.52,254.54,0.4,62.02,51.42,213.88,19.12,9.04
2018,983.72,134.3,107.94,108.24,116.42,203.04,0.14,40.36,17.92,239.82,7.68,7.86
