Jahr,Liechtenstein,Vaduz,Triesen,Balzers,Triesenberg,Schaan,Eschen,Mauren,Ruggell
1995,281538,88200,23706,17694,17811,47295,36990,33570,16272
1996,353292.3,79362,29890.8,22591.8,28213.2,49816.8,72484.2,55354.5,15579
1997,363636,93510,39087,33859.8,25972.2,43452,63930.6,45453.6,18370.8
1998,322338.6,63801,35730,30546,18162,72156.6,58318.2,26172,17452.8
1999,354481.2,94287.6,43475.4,31050,36619.2,63226.8,35796.6,27824.4,22201.2
2000,434755.8,133110,53359.2,31545,53528.4,42498,43617.6,61749,15348.6
2001,426587.4,122981.4,70104.6,58843.8,,61036.2,45059.4,45919.8,22642.2
2002,428951.682,72752.4,58370.4,22077,13093.632,108780.3,69103.35,68328,16446.6
2003,420136.65,41128.2,42017.67,61428.6,11803.05,65865.6,84177.45,94752,18964.08
2004,408928.392,71685,35876.07,19359,23770.35,68677.2,81249.75,77219.1,31091.922
2005,467055,124722,31411.8,16182,4620.6,58663.8,123584.4,92408.4,15462
2006,344263.086,86207.04,35945.334,11945.16,6216.3,80955,37375.2,55263.6,30355.452
2007,431408.79,92068.29,42944.4,15669,15598.8,107836.2,82409.4,44660.7,30222
2008,555036.318,103120.92,81405.36,55226.7,32212.296,91578.6,111249,65462.4,14781.042
2009,409064.472,68193.918,59132.844,40026.6,26216.1,70907.4,60083.1,62023.5,22481.01
2010,398675.934,115077.024,68657.85,17357.4,24935.4,49600.8,55702.8,44737.2,22607.46
2011,595498.23,118861.74,78538.5,26719.2,26906.76,185236.2,65380.95,54017.1,39837.78
2012,529165.35,78093,50312.484,17985.6,11812.194,162369,113689.8,70765.2,24138.072
2013,388674.252,38272.14,85250.772,8676,26834.4,62397,74447.64,77205.6,15590.7
2014,513523.008,105760.08,55477.908,12151.8,32796,169979.4,88011.45,31693.05,17653.32
2015,548289.576,142735.5,69978.006,32904.54,28015.2,89834.4,86022.54,69643.8,29155.59
2016,414145.62,72826.47,67244.778,23804.1,11314.314,78702.39,80915.976,69110.1,10227.492
2017,442261.902,120457.8,25934.1599999999,25323.84,42141.132,152187.21,18603.9,46914.3,10699.56
2018,387144.966,79275,41137.434,11122.2,13116.6,163017.972,18617.4,45563.4,15294.96
