Jahr,Totaltreibhaus,Kohlendioxid,Lachgas,Methan,Fluorkohlen,Perfluorierte,Schwefel,Totalabfall,Totalsiedlungsabfall,Verbranntkehricht,Separatwertstoffe,Kompostierbaregruenabfuhr,Abfallgruengut,Sonderabfallhaushalt,Industrieabfall,Metzgereiabfall,Innerstoffe,Industrieabfall,Klaerschlamm,Stadtbevoelkerung,Bewohner,Tourismus,Frauenbeschaeftigung
2000,272.504143976389,241.326587508501,10.2310221306569,16.7365222995755,4.11068778434166,0.01200025331417,0.087324,482 431,36 446, 7 788,21 897, 1 533, 5 210,18, 1 643,99, 434 756, 8 265, 1 222,15.1300001144409,33184,61600,50.5800018310547
2001,248.532786071837,215.555608076651,10.2809480613178,17.5703782352195,4.94491379421937,0.01563790442982,0.1653,474 050,35 311, 8 003,21 436, 1 607, 4 247,18, 2 497,162, 426 587, 8 468, 1 025,14.9619998931885,33543,56500,50.310001373291
2002,255.723185173736,221.80880626848,10.4244963124315,17.7447892449403,5.48226677138867,0.0193225764952,0.243504,480 453,36 083, 7 905,20 999, 1 655, 5 501,23, 2 840,163, 428 952, 11 366, 1 050,14.9060001373291,33885,48700,49.4199981689453
2003,270.061913444912,235.217288479038,10.4485057775815,17.8956277976725,6.21346756749955,0.03895982312046,0.248064,470 864,36 798, 8 011,21 729, 1 529, 5 508,21, 2 573,161, 420 137, 10 087, 1 109,14.8500003814697,34172,49000,49.5
2004,272.926777894907,237.447356806709,10.1410390344473,17.9630645497203,7.06363386000227,0.04879964402752,0.262884,457 519,36 213, 8 125,21 096, 1 628, 5 345,19, 2 583,163, 408 928, 8 525, 1 107,14.7950000762939,34444,48500,49.4500007629395
2005,273.463101355692,237.060865221025,10.2800349971909,18.4230959869575,7.37834097232704,0.06563217819182,0.255132,520 407,40 062, 8 038,23 807, 1 583, 6 614,20, 2 216,150, 467 055, 9 425, 1 499,14.7390003204346,34718,49800,49.3499984741211
2006,281.671530149301,244.072003853987,10.4814886504863,19.152531290797,7.83221839247537,0.07697196155487,0.056316,400 325,38 910, 8 267,23 616, 1 567, 5 442,18, 2 091,103, 344 263, 13 734, 1 224,14.6840000152588,34975,54900,49.8199996948242
2007,261.653893546428,223.015403619062,10.564540545624,19.380772494297,8.49610758301638,0.08306930442794,0.114,524 510,39 907, 8 338,24 005, 1 564, 5 981,19, 2 183,117, 431 409, 49 582, 1 313,14.628999710083,35217,72800,50.9000015258789
2008,283.80273372569,243.896312151726,10.7498186175214,19.5941116721905,9.13343677892693,0.08249450532455,0.34656,607 329,37 946, 8 460,21 076, 1 534, 6 859,16, 2 071,131, 555 036,10 900, 1 245,14.5740003585815,35469,72900,51.3400001525879
2009,266.100281401123,226.689728808321,10.6455692695737,19.4202545846803,9.13556598850467,0.0732747500441,0.135888,459 395,35 448, 8 560,20 031, 1 580, 5 258,18, 2 025,133, 409 064,11 362, 1 362,14.5190000534058,35723,66500,50.8899993896484
2010,249.716536004735,210.648644623237,10.4139601260527,18.849723535501,9.71202118403452,0.06870253590999,0.023484,466 310,32 799, 8 662,17 449,1 518, 5 154,17,2 097,136, 398 676, 31 433, 1 169,14.46399974823,35996,64300.00390625,50.7700004577637
2011,240.41177083867,200.408382736699,10.8036450824837,19.1494947378513,9.9761482096543,0.060648071982,0.013452,656 001,35 896, 8 728,19 618, 1 559, 5 975,16, 2 098,133, 595 498,21 218, 1 158,14.4099998474121,36299,67000,52.9300003051758
2012,249.852193215293,209.195497573082,10.6819871392907,19.5341756703057,10.3849408594816,0.05513597313332,0.000456,585 204,35 137, 8 776,18 051, 1 863, 6 426,21, 2 229,139, 529 165, 17 413, 1 121,14.3669996261597,36615,62400,52.3899993896484
2013,248.748460064451,208.733528104826,10.3983499122006,18.7346593566618,10.6471033307759,0.06017135998738,0.174648,442 979,33 281, 8 668,16 604, 1 537, 6 455,18, 2 102,141, 388 674, 17 598, 1 182,14.3339996337891,36940,59600,51.9000015258789
2014,217.006148388923,177.192605636018,10.2987096476742,18.7003255335488,10.6566773114019,0.04177826027983,0.116052,562 748,31 362, 8 584,15 249, 1 471, 6 041,17, 1 798,139, 513 523,14 625, 1 301,14.3129997253418,37219,61300,51.7799987792969
2015,208.8502660185,169.568555067419,10.3473887319387,18.41323430091,10.4456046104447,0.03809130778712,0.037392, 594 313, 32 382, 8 504, 17 143, 1 386, 5 337,12, 1 539,140, 548 290, 10 811, 1 152,14.3030004501343,37465,56700,52.0800018310547
2016,196.891153863671,157.669512633566,10.1972363855739,18.4270665578803,10.556574776065,0.02639951058552,0.014364,461 204,32 670, 8 268,17 339, 1 492, 5 550,20, 1 531,136, 414 146, 11 602, 1 119,14.3030004501343,37655,69100,51.9000015258789
2017,204.169111626934,165.268573299401,10.1444589574926,18.0030402154355,10.691048985675,0.01684616892995,0.045144, 490 414, 33 575, 8 318, 17 471, 2 212, 5 556,18, 1 108,148, 442 262, 12 123, 1 199,14.3149995803833,37805,79300,52.0999984741211
