Jahr,Total,Kohlendioxid,Lachgas,Methan,Fluorkohlen-wasserstoffe,Perfluorierte Kohlenwasserstoffe,Schwefel-hexafluorid
1990,235.944475332716,205.608822653162,11.2171093553717,19.1184388558025,0.00010446837893,,
1991,227.384599368765,196.903929999367,11.413165079448,19.0575051391455,0.00988358462015,0.00011556618428,
1992,238.692326893247,208.648553345048,11.3320524584706,18.623094234254,0.08826940783708,0.00035744763733,
1993,242.497678483322,213.389551524211,11.0846918596109,17.8217888467335,0.20085558464699,0.00079066811975,
1994,248.582906986342,219.108573747268,11.030628634194,17.9283457509575,0.51386465614569,0.0014941977769,
1995,238.71755090857,208.510614934095,10.9299690323337,17.9051824941578,1.36976767008685,0.00201677789606,
1996,232.641828448894,201.789517690864,10.8712187658999,18.2455438672458,1.73337013868764,0.00217798619723,
1997,256.839423816501,225.806223247776,10.9045782477152,17.985435251397,2.14102257447704,0.00216449513621,
1998,259.915356373793,228.756546443461,10.5885701651427,17.827646579956,2.7384370644666,0.00415612076667,
1999,255.768509555967,224.912562743699,10.3498327936867,17.1459340004897,3.34839681469098,0.00722320340049,0.00456
2000,272.504143976389,241.326587508501,10.2310221306569,16.7365222995755,4.11068778434166,0.01200025331417,0.087324
2001,248.532786071837,215.555608076651,10.2809480613178,17.5703782352195,4.94491379421937,0.01563790442982,0.1653
2002,255.723185173736,221.80880626848,10.4244963124315,17.7447892449403,5.48226677138867,0.0193225764952,0.243504
2003,270.061913444912,235.217288479038,10.4485057775815,17.8956277976725,6.21346756749955,0.03895982312046,0.248064
2004,272.926777894907,237.447356806709,10.1410390344473,17.9630645497203,7.06363386000227,0.04879964402752,0.262884
2005,273.463101355692,237.060865221025,10.2800349971909,18.4230959869575,7.37834097232704,0.06563217819182,0.255132
2006,281.671530149301,244.072003853987,10.4814886504863,19.152531290797,7.83221839247537,0.07697196155487,0.056316
2007,261.653893546428,223.015403619062,10.564540545624,19.380772494297,8.49610758301638,0.08306930442794,0.114
2008,283.80273372569,243.896312151726,10.7498186175214,19.5941116721905,9.13343677892693,0.08249450532455,0.34656
2009,266.100281401123,226.689728808321,10.6455692695737,19.4202545846803,9.13556598850467,0.0732747500441,0.135888
2010,249.716536004735,210.648644623237,10.4139601260527,18.849723535501,9.71202118403452,0.06870253590999,0.023484
2011,240.41177083867,200.408382736699,10.8036450824837,19.1494947378513,9.9761482096543,0.060648071982,0.013452
2012,249.852193215293,209.195497573082,10.6819871392907,19.5341756703057,10.3849408594816,0.05513597313332,0.000456
2013,248.748460064451,208.733528104826,10.3983499122006,18.7346593566618,10.6471033307759,0.06017135998738,0.174648
2014,217.006148388923,177.192605636018,10.2987096476742,18.7003255335488,10.6566773114019,0.04177826027983,0.116052
2015,208.8502660185,169.568555067419,10.3473887319387,18.41323430091,10.4456046104447,0.03809130778712,0.037392
2016,196.891153863671,157.669512633566,10.1972363855739,18.4270665578803,10.556574776065,0.02639951058552,0.014364
2017,204.169111626934,165.268573299401,10.1444589574926,18.0030402154355,10.691048985675,0.01684616892995,0.045144
